,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,stranger things,9,17,14,43
1,1,the boys,4,8,12,33
2,2,resident evil,4,14,15,167
3,3,the umbrella academy,4,13,11,27
4,4,ms. marvel,4,13,11,27
5,5,westworld,9,11,15,168
6,6,jurassic world dominion,4,13,15,6
7,7,minions: the rise of gru,2,13,11,20
8,8,doctor strange in the multiverse of madness,4,13,16,40
9,9,everything everywhere all at once,4,13,11,27
10,10,star trek: strange new worlds,4,13,15,6
11,11,the orville,10,1,12,169
12,12,obi-wan kenobi,4,13,15,6
13,13,severance,9,11,15,168
14,14,manifest,9,11,15,168
15,15,lightyear,2,5,13,3
16,16,thor: ragnarok,4,13,11,27
17,17,nope,11,11,15,30
18,18,spider-man: no way home,4,13,16,40
19,19,the sandman,9,17,14,43
20,20,the munsters,8,10,16,101
21,21,spiderhead,4,8,12,33
22,22,black mirror,9,11,15,168
23,23,the flash,4,13,12,1
24,24,the mandalorian,4,13,16,40
25,25,rocketry: the nambi effect,4,16,12,105
26,26,american horror story,9,14,15,49
27,27,"love, death & robots",2,15,4,193
28,28,doctor who,10,12,15,42
29,29,resident evil: welcome to raccoon city,4,14,15,167
30,30,solar opposites,2,1,15,74
31,31,crimes of the future,9,14,15,49
32,32,lost,10,12,16,94
33,33,jurassic park,4,13,15,6
34,34,rick and morty,2,13,11,20
35,35,morbius,4,13,14,62
36,36,the marvels,4,13,16,40
37,37,the undeclared war,9,6,6,2
38,38,avengers: endgame,4,13,12,1
39,39,dune: part one,4,13,12,1
40,40,halo,4,13,15,6
41,41,eternals,4,13,16,40
42,42,the x files,5,12,9,86
43,43,dark,5,12,9,86
44,44,star trek: discovery,4,13,12,1
45,45,ghostbusters: afterlife,10,1,16,107
46,46,dc league of super-pets,2,5,13,3
47,47,avatar: the way of water,4,13,15,6
48,48,interstellar,10,12,15,42
49,49,inception,4,13,15,6
50,50,invincible,2,5,13,3
51,51,free guy,4,13,11,27
52,52,the 100,9,11,15,168
53,53,black panther: wakanda forever,4,13,12,1
54,54,loki,4,13,16,40
55,55,black adam,4,17,15,25
56,56,the time traveler's wife,9,17,3,11
57,57,star wars: the clone wars,2,5,13,3
58,58,sonic the hedgehog 2,4,13,11,27
59,59,she-hulk: attorney at law,4,13,11,27
60,60,wandavision,4,1,12,38
61,61,arcane: league of legends,2,5,13,3
62,62,minions,2,13,11,20
63,63,avengers: infinity war,4,13,15,6
64,64,guardians of the galaxy,4,13,11,27
65,65,star trek: the next generation,4,13,15,6
66,66,the book of boba fett,4,13,15,6
67,67,star trek,4,13,15,6
68,68,the expanse,9,11,15,168
69,69,star wars,4,13,16,40
70,70,harley quinn,2,5,13,3
71,71,daredevil,4,8,12,33
72,72,don't look up,8,12,15,68
73,73,jurassic world,4,13,15,6
74,74,superman & lois,4,13,12,1
75,75,mad god,2,17,14,80
76,76,samaritan,4,12,16,55
77,77,independence day,4,13,15,6
78,78,moonfall,4,13,15,6
79,79,doctor strange,4,13,16,40
80,80,blade runner 2049,4,12,9,66
81,81,black widow,4,13,15,6
82,82,jurassic world: fallen kingdom,4,13,15,6
83,83,back to the future,10,1,15,178
84,84,avatar,4,13,16,40
85,85,diabolical,2,15,4,193
86,86,smallville,4,13,12,1
87,87,night sky,10,12,16,94
88,88,titans,4,13,7,7
89,89,star trek: picard,4,13,12,1
90,90,warehouse 13,9,11,15,168
91,91,tenet,4,6,6,8
92,92,the suicide squad,4,13,11,27
93,93,the adam project,4,13,11,27
94,94,see,4,12,15,31
95,95,captain marvel,4,13,15,6
96,96,shang-chi and the legend of the ten rings,4,13,16,40
97,97,mad max: fury road,4,13,15,6
98,98,arrow,4,13,7,7
99,99,hawkeye,4,13,7,7
100,100,shining girls,5,12,9,86
101,101,peacemaker,4,13,11,27
102,102,fringe,9,11,15,168
103,103,fear the walking dead,9,14,15,49
104,104,despicable me,2,13,11,20
105,105,agents of s.h.i.e.l.d.,4,13,12,1
106,106,star wars: episode i - the phantom menace,4,13,16,40
107,107,motherland: fort salem,9,17,15,0
108,108,hellboy,4,13,16,40
109,109,stargåte sg-1,4,13,12,1
110,110,spider-man: homecoming,4,13,15,6
111,111,guardians of the galaxy vol. 2,4,13,11,27
112,112,the mist,11,6,6,162
113,113,black panther,4,13,15,6
114,114,spider-man,4,13,15,6
115,115,overlord,4,14,15,167
116,116,the avengers,4,13,15,6
117,117,station eleven,10,12,16,94
118,118,the hunger games,4,13,15,6
119,119,person of interest,4,8,12,33
120,120,minority report,4,8,9,60
121,121,blade runner,4,12,15,31
122,122,paper girls,9,17,14,43
123,123,baymax!,2,15,4,193
124,124,suicide squad,4,13,16,40
125,126,iron man,4,13,15,6
126,127,star trek: deep space nine,4,13,12,1
127,128,what if...?,2,5,13,3
128,129,the prestige,9,11,15,168
129,130,prey,4,12,14,117
130,131,from,9,14,9,21
131,132,guardians of the galaxy vol. 3,4,13,11,27
132,133,deadpool,4,13,11,27
133,134,star wars: episode ix - the rise of skywalker,4,13,16,40
134,135,star trek: voyager,4,13,15,6
135,136,gotham,4,8,12,33
136,137,venom: let there be carnage,4,13,15,6
137,138,aquaman,4,13,16,40
138,139,star wars: episode iii - revenge of the sith,4,13,16,40
139,140,the lost world: jurassic park,4,13,15,6
140,141,arrival,9,11,15,168
141,142,zack snyder's justice league,4,13,16,40
142,143,the midwich cuckoos,9,14,9,21
143,144,ghostbusters,4,1,16,96
144,145,alien: covenant,11,6,6,162
145,146,"roswell, new mexico",9,4,15,16
146,147,ex machina,9,6,6,2
147,148,the thing,11,11,15,30
148,149,spider-man: into the spider-verse,2,5,13,3
149,150,futurama,2,13,11,20
150,151,annihilation,10,12,14,134
151,152,doom patrol,4,13,11,27
152,153,watchmen,4,12,9,66
153,154,star wars: rebels,2,5,13,3
154,155,the tomorrow war,4,13,12,1
155,157,aliens,4,13,15,6
156,158,the deadly mantis,7,14,15,154
157,159,divergent,4,13,9,24
158,160,spider-man: far from home,4,13,15,6
159,161,captain america: the first avenger,4,13,15,6
160,162,gravity falls,2,5,13,3
161,163,resident alien,8,12,9,54
162,164,eternal sunshine of the spotless mind,9,4,15,16
163,165,upload,8,11,15,112
164,166,supergirl,4,13,12,1
165,167,farzar,2,5,13,3
166,168,deadpool 2,4,13,11,27
167,169,rogue one,4,13,15,6
168,170,firefly,10,12,15,42
169,171,jessica jones,4,8,12,33
170,172,raised by wolves,9,17,15,0
171,173,the amazing spider-man,4,13,15,6
172,174,dune: part two,4,13,12,1
173,175,avengers: age of ultron,4,13,15,6
174,176,the fifth element,4,13,15,6
175,177,transformers,4,13,15,6
176,178,prometheus,10,11,15,118
177,179,the world's end,4,1,15,12
178,180,the stand,10,12,16,94
179,181,star wars: episode vi - return of the jedi,4,13,16,40
180,182,a quiet place part ii,9,14,15,49
181,183,idiocracy,10,1,15,178
182,185,the twilight zone,9,17,14,43
183,186,ad astra,10,12,9,10
184,187,the empire strikes back,4,13,16,40
185,188,legends of tomorrow,4,13,12,1
186,189,the last of us,4,13,12,1
187,190,misfits,8,12,16,18
188,191,the falcon and the winter soldier,4,13,12,1
189,192,snowpiercer,4,12,15,31
190,193,sonic the hedgehog,4,13,11,27
191,194,godzilla vs. kong,4,6,6,8
192,195,star wars: episode vii - the force awakens,4,13,15,6
193,196,boku no hîrô akademia,2,5,13,3
194,197,captain america: civil war,4,13,15,6
195,198,logan,4,12,15,31
196,199,alf,8,10,15,57
197,200,fantastic four,4,13,15,6
198,201,star wars: episode ii - attack of the clones,4,13,16,40
199,202,the meg,4,14,15,167
200,203,the fountain,9,11,3,61
201,204,donnie darko,9,11,15,168
202,205,jigeum uri hakgyoneun,4,12,16,55
203,206,edge of tomorrow,4,13,15,6
204,207,armageddon,4,13,15,6
205,208,despicable me 3,2,13,11,20
206,209,adventure time,2,5,13,3
207,210,underwater,4,14,15,167
208,211,ready player one,4,13,15,6
209,212,starship troopers,4,13,15,6
210,213,about time,8,12,16,18
211,214,the man in the high castle,9,6,6,2
212,216,a quiet place,9,14,15,49
213,217,quantum leap,4,13,12,1
214,218,ant-man and the wasp: quantumania,4,13,11,27
215,219,her,9,4,15,16
216,220,the martian,10,12,15,42
217,221,dune,4,13,15,6
218,222,blindspot,4,8,12,33
219,223,big hero 6,2,5,13,3
220,224,lost in space,10,12,10,124
221,225,despicable me 2,2,13,11,20
222,226,predator,4,13,14,62
223,227,x-men,4,13,15,6
224,228,the oa,9,17,9,32
225,229,altered carbon,4,12,15,31
226,230,star wars: episode viii - the last jedi,4,13,16,40
227,231,the amazing spider-man 2,4,13,15,6
228,232,solo: a star wars story,4,13,15,6
229,233,justice league,4,13,16,40
230,234,alias,4,12,9,66
231,235,firestarter,9,14,15,49
232,236,venom,4,13,15,6
233,237,lucy in the sky,9,4,15,16
234,238,oblivion,4,13,15,6
235,239,wonder woman,4,13,16,40
236,240,hagane no renkinjutsushi,2,5,13,3
237,241,heroes,9,17,15,0
238,242,alita: battle angel,4,13,15,6
239,243,battlestar galactica,4,13,12,1
240,244,ant-man,4,13,11,27
241,245,spider-man 3,4,13,15,6
242,246,robocop,4,8,15,51
243,247,one punch man: wanpanman,2,5,11,47
244,248,captain america: the winter soldier,4,13,15,6
245,250,enterprise,4,13,12,1
246,251,iron man three,4,13,15,6
247,252,aquaman and the lost kingdom,4,13,16,40
248,253,the hunger games: the ballad of songbirds and snakes,4,13,12,1
249,254,jurassic park iii,4,13,15,6
250,255,terminator: dark fate,4,13,15,6
251,256,iron man 2,4,13,15,6
252,257,v for vendetta,4,12,15,31
253,258,archive 81,9,14,9,21
254,259,stargirl,4,13,7,7
255,260,man of steel,4,13,15,6
256,261,legion,4,12,15,31
257,262,e.t. the extra-terrestrial,10,10,15,4
258,263,andor,4,13,12,1
259,264,secret headquarters,4,13,11,27
260,265,green lantern: beware my power,2,13,15,127
261,266,sense8,9,11,15,168
262,268,infinite,4,6,6,8
263,269,x-men: apocalypse,4,13,15,6
264,270,the incredible hulk,4,13,15,6
265,271,star trek: lower decks,2,5,13,3
266,272,kong: skull island,4,13,16,40
267,273,the spectacular spider-man,2,5,13,3
268,274,ant-man and the wasp,4,13,11,27
269,275,secret invasion,4,13,12,1
270,276,transformers: rise of the beasts,4,13,15,6
271,277,mad max,4,13,15,6
272,278,power rangers,4,13,16,40
273,279,army of the dead,4,8,14,13
274,280,x-men: days of future past,4,13,15,6
275,281,dragon ball z,2,5,13,3
276,282,brightburn,9,14,9,21
277,283,28 days later...,9,14,15,49
278,284,spider-man 2,4,13,15,6
279,286,regular show,2,5,13,3
280,287,war of the worlds,4,13,15,6
281,288,life,11,6,6,162
282,289,dredd,4,8,15,51
283,290,john carter,4,13,15,6
284,291,contact,9,11,15,168
285,292,strange world,2,5,13,3
286,293,eureka,10,1,12,169
287,294,el hoyo,11,6,6,162
288,295,batman: the animated series,2,5,13,3
289,296,the invisible man,9,14,9,21
290,297,world war z,4,13,14,62
291,298,2012,4,13,15,6
292,299,black clover,2,5,13,3
293,300,back to the future part ii,10,1,15,178
294,301,valerian and the city of a thousand planets,4,13,16,40
295,302,in time,4,6,6,8
296,303,wayward pines,9,11,15,168
297,304,event horizon,11,6,6,162
298,305,the new mutants,4,14,9,67
299,306,10 cloverfield lane,9,14,9,21
300,308,tron,4,13,15,6
301,309,under the skin,9,14,9,21
302,310,3rd rock from the sun,8,10,15,57
303,312,stargate: atlåntis,4,13,12,1
304,313,the hunger games: catching fire,4,13,12,1
305,314,star wars: the bad batch,2,5,13,3
306,315,untitled super mario project,2,13,11,20
307,316,men in black,4,13,11,27
308,317,independence day: resurgence,4,13,15,6
309,318,the maze runner,4,11,15,82
310,319,passengers,9,4,15,16
311,320,godzilla: king of the monsters,4,13,16,40
312,321,sky high,4,1,10,59
313,322,madame web,4,13,15,6
314,323,the predator,4,13,15,6
315,324,x: first class,4,13,15,6
316,325,superman,4,13,15,6
317,326,total recall,4,13,15,6
318,327,masters of the universe,4,13,16,40
319,328,mortal kombat,4,13,16,40
320,329,wall·e,2,13,10,130
321,330,the lobster,8,12,3,121
322,331,the nevers,4,12,16,55
323,332,blade,4,14,15,167
324,333,furiosa,4,13,15,6
325,335,upgrade,4,6,6,8
326,337,teenage mutant ninja turtles,4,13,11,27
327,338,travelers,9,11,15,168
328,339,i am groot,2,15,4,193
329,340,titane,9,14,15,49
330,341,star trek beyond,4,13,15,6
331,342,la brea,9,11,15,168
332,343,babylon 5,4,13,12,1
333,344,kaubôi bibappu,2,5,13,3
334,346,cowboy bebop,4,13,11,27
335,347,the mitchells vs the machines,2,13,11,20
336,348,inhumans,4,13,15,6
337,349,batman,4,13,11,27
338,350,vivarium,11,11,15,30
339,351,love and monsters,4,13,11,27
340,352,spaceballs,10,1,15,178
341,353,snake eyes: g.i. joe origins,4,13,7,7
342,354,batman v superman: dawn of justice,4,13,15,6
343,355,rollerball,4,6,0,35
344,356,escape room: tournament of champions,4,13,14,62
345,357,predestination,4,12,15,31
346,358,waterworld,4,13,15,6
347,359,galaxy quest,10,1,15,178
348,360,geostorm,4,6,6,8
349,361,transformers: the last knight,4,13,15,6
350,362,the butterfly effect,9,6,6,2
351,363,pacific rim,4,13,15,6
352,364,weird science,8,4,15,71
353,365,terminator genisys,4,13,15,6
354,366,a boy and his dog,8,12,15,68
355,367,battleship,4,13,15,6
356,368,gattaca,9,6,6,2
357,369,i am legend,4,12,15,31
358,370,jurassic world: camp cretaceous,2,5,13,3
359,371,incredibles 2,2,5,13,3
360,372,young justice,2,5,13,3
361,373,rebel moon,10,12,16,94
362,374,moon,9,11,15,168
363,375,they live,4,14,15,167
364,376,a cure for wellness,9,17,14,43
365,377,glitch,9,14,15,49
366,378,face/off,4,8,15,51
367,379,blasted,4,1,15,12
368,382,mortal engines,4,13,16,40
369,383,lilo & stitch,2,13,11,20
370,384,11.22.63,9,0,9,129
371,385,escape from new york,4,13,15,6
372,386,the fly,9,14,15,49
373,387,okja,4,13,12,1
374,388,the chronicles of riddick,4,13,15,6
375,389,green lantern,4,13,15,6
376,390,echo,4,13,7,7
377,391,invasion,9,17,15,0
378,392,children of men,4,12,15,31
379,393,reminiscence,6,4,15,114
380,394,mad max 2,4,13,15,6
381,395,x-men: the last stand,4,13,15,6
382,396,vesper,10,12,15,42
383,397,the legend of korra,2,5,13,3
384,398,inside job,2,1,16,137
385,399,batwoman,4,13,7,7
386,400,made for love,8,12,15,68
387,401,chaos walking,4,13,16,40
388,402,amphibia,2,5,13,3
389,403,lucy,4,6,6,8
390,404,sorry to bother you,8,12,16,18
391,405,alice in borderland,4,12,9,66
392,406,men in black: international,4,13,11,27
393,408,looper,4,12,15,31
394,409,escape room,4,13,14,62
395,410,vanilla sky,14,11,3,85
396,411,the purge,11,6,6,162
397,412,gravity,4,12,15,31
398,413,the time machine,4,13,15,6
399,414,spy kids,4,13,11,27
400,415,made in abyss,2,5,13,3
401,416,resident evil: apocalypse,4,14,15,167
402,417,dark angel,4,12,9,66
403,418,doom,4,14,15,167
404,419,resident evil: infinite darkness,2,5,14,143
405,420,sweet tooth,4,13,12,1
406,421,coherence,9,11,15,168
407,422,clifford the big red dog,2,13,11,20
408,423,dark phoenix,4,13,15,6
409,424,castle rock,9,17,14,43
410,425,what happened to monday,4,8,16,148
411,426,the last ship,4,12,15,31
412,427,twelve monkeys,6,6,6,65
413,428,the day after tomorrow,4,13,15,6
414,429,pitch black,4,14,15,167
415,430,stargate,4,13,15,6
416,431,star trek into darkness,4,13,15,6
417,432,finch,10,12,15,42
418,433,cloud atlas,9,11,15,168
419,434,planet of the apes,4,13,15,6
420,435,rampage,4,13,15,6
421,436,kraven the hunter,4,13,15,6
422,437,spider-man: across the spider-verse,2,5,13,3
423,438,agent carter,4,13,7,7
424,439,colossal,8,12,16,18
425,440,farscape,4,13,12,1
426,441,iron fist,4,13,7,7
427,442,glass,9,14,15,49
428,443,shin seiki evangerion,2,5,12,197
429,444,men in black 3,4,13,11,27
430,445,henry danger,4,1,10,59
431,446,bill & ted face the music,10,1,2,39
432,447,transformers: dark of the moon,4,13,15,6
433,448,super 8,4,11,15,82
434,449,the man from earth,9,17,9,32
435,450,timeless,4,13,12,1
436,451,cloverfield,4,14,15,167
437,453,the cloverfield paradox,4,14,15,167
438,454,the running man,4,6,6,8
439,455,wreck-it ralph,2,13,11,20
440,456,resident evil: retribution,4,14,15,167
441,457,deadpool 3,4,1,15,12
442,458,ryû to sobakasu no hime,2,13,12,108
443,459,never let me go,9,4,15,16
444,460,the cell,5,14,15,139
445,461,borderlands,4,13,11,27
446,462,under the dome,9,11,15,168
447,463,devs,9,11,15,168
448,465,the last man on earth,4,1,12,38
449,466,the dead don't die,8,17,14,103
450,467,robots,2,13,11,20
451,468,the prey: legend of karnoctus,4,6,6,8
452,469,x2,4,6,6,8
453,470,serenity,4,13,15,6
454,471,deep blue sea,4,13,15,6
455,472,knight rider,4,8,12,33
456,473,kôdo giasu - hangyaku no rurûshu: code geass - lelouch of the rebellion,2,5,12,197
457,474,alien resurrection,4,14,15,167
458,475,space jam: a new legacy,2,13,11,20
459,476,bienvenidos a edén,4,12,15,31
460,477,district 9,4,6,6,8
461,478,atlantis: the lost empire,2,5,13,3
462,481,bumblebee,4,13,15,6
463,482,godzilla,4,13,15,6
464,483,the faculty,11,11,15,30
465,484,alien³,4,14,15,167
466,485,lovecraft country,9,17,14,43
467,486,family matters,10,1,12,169
468,487,mr. nobody,9,17,3,11
469,488,the in between,9,4,15,16
470,489,tomorrowland,4,13,10,81
471,490,terminator salvation,4,13,15,6
472,491,logan's run,4,13,15,6
473,492,gintama,2,5,11,47
474,494,pokémon: detective pikachu,4,13,11,27
475,495,men in black ii,4,13,11,27
476,496,falling skies,4,13,12,1
477,497,blast from the past,8,12,3,121
478,499,signs,9,11,15,168
479,500,cube,9,14,9,21
480,501,i think we're alone now,9,11,15,168
481,502,bill & ted's excellent adventure,10,1,2,39
